INST,OUTPUT
Le joueur doit reconnaître et ordonner les lettres de l'alphabet niveau facile (MD) en complétant une série de mots manquants avec les lettres manquantes (MS).,"MC1 : Le joueur se retrouve dans une bibliothèque enchantée où les livres se referment sur eux-mêmes, laissant des mots incomplets. Pour avancer, le joueur doit compléter les mots en ajoutant les lettres manquantes de l'alphabet. Par exemple, pour le mot ""ch__vre"", le joueur devra trouver la lettre manquante pour former le mot ""chèvre"". Chaque mot complété lui permettra de débloquer un nouveau passage et de progresser dans sa quête.
MC2 : Le joueur se trouve face à une énigme complexe, composée de mots mêlés dont certaines lettres sont manquantes. Pour résoudre l'énigme et avancer, le joueur doit identifier les lettres manquantes de l'alphabet et les placer correctement dans les mots pour former des mots valides. Par exemple, en trouvant les lettres manquantes pour les mots ""p__om__nade"" et ""r__sse__au"", le joueur pourra déchiffrer les mots ""promenade"" et ""réseau"" et ainsi progresser dans sa quête.
MC3 : Le joueur se retrouve dans un labyrinthe de lettres où des mots sont incomplets et des chemins bloqués par des mots manquants. Pour trouver la sortie du labyrinthe, le joueur doit compléter les mots en ajoutant les lettres manquantes de l'alphabet. En résolvant des énigmes comme ""m__ison"" et ""f__ur"", le joueur pourra débloquer des passages et avancer vers la sortie. Une erreur dans la complétion des mots pourrait le conduire à des impasses et retarder sa progression dans le labyrinthe."
Le joueur doit associer chaque objet à sa couleur correspondante en surmontant des défis de tri et de classification (MD) pour progresser dans le jeu (MS).,"MC1 : Le joueur se retrouve dans une salle remplie d'objets de différentes formes et tailles, mais tous de couleurs différentes. Pour avancer, il doit associer chaque objet à sa couleur correspondante en un temps limité. S'il réussit, il débloque un passage secret qui le mène vers de nouveaux défis passionnants. En cas d'erreur, il devra recommencer jusqu'à ce qu'il maîtrise parfaitement le tri et la classification des objets par couleur.
MC2 : Le joueur se trouve face à un puzzle complexe composé de pièces de différentes couleurs. Pour résoudre ce puzzle et avancer dans le jeu, il doit trier les pièces en fonction de leur couleur et les assembler correctement. Chaque fois qu'il réussit à compléter une partie du puzzle, il débloque des indices précieux pour la suite de son aventure. En revanche, s'il se trompe dans le tri des couleurs, il risque de rester bloqué et de devoir recommencer depuis le début.
MC3 : Le joueur est confronté à une énigme impliquant des objets colorés dispersés dans un labyrinthe. Pour trouver la sortie et progresser dans le jeu, il doit trier les objets par couleur et les placer dans les emplacements correspondants. Chaque fois qu'il réussit à trier correctement les objets, il déverrouille des passages secrets qui lui permettent d'avancer plus rapidement. En cas d'erreur, il risque de se perdre dans le labyrinthe et de devoir retrouver son chemin en réfléchissant à nouveau sur le tri des couleurs."
Le joueur doit apprendre les chiffres de 0 à 10 en associant chaque chiffre à son équivalent numérique (MD) et en complétant une série de puzzles numériques pour vérifier sa compréhension (MS).,"MC1 : Le joueur se retrouve dans une salle remplie de coffres verrouillés, chacun affichant un chiffre de 0 à 10 en lettres. Pour ouvrir les coffres et découvrir les trésors cachés à l'intérieur, le joueur doit associer chaque chiffre à son équivalent numérique. En résolvant correctement cette énigme, il pourra progresser dans sa quête et obtenir des récompenses précieuses. En revanche, s'il se trompe, il risque de déclencher des pièges redoutables qui mettront son aventure en péril.
MC2 : Le joueur se trouve face à un mur de cristal incrusté de chiffres de 0 à 10. Pour le traverser et continuer son chemin, il doit résoudre une série de puzzles numériques qui mettront à l'épreuve sa connaissance des chiffres et de leur équivalent numérique. Chaque puzzle réussi lui permettra de briser une partie du mur, le rapprochant un peu plus de la sortie. En cas d'échec, le mur se refermera sur lui, l'obligeant à recommencer depuis le début.
MC3 : Le joueur est confronté à un étrange dispositif composé de rouages et de leviers, affichant des chiffres de 0 à 10. Pour activer ce mécanisme et débloquer le passage, il doit compléter une série de combinaisons numériques en associant chaque chiffre à son équivalent numérique. Chaque combinaison correcte fera avancer le dispositif, révélant de nouveaux défis à relever. En cas d'erreur, le joueur devra affronter des obstacles supplémentaires avant de pouvoir progresser."
Le joueur doit identifier les parties du corps humain (MD) en associant chaque partie à son nom en anglais dans un jeu de memory (MS).,"MC1 : Le joueur se retrouve dans une salle remplie de cartes retournées, chacune représentant une partie du corps humain en anglais. Pour avancer, il doit retourner deux cartes à la fois et les associer correctement, en trouvant le nom anglais correspondant à chaque partie du corps. S'il réussit, les cartes disparaissent et il peut continuer son chemin. En cas d'erreur, les cartes se retournent à nouveau et le joueur doit recommencer.

MC2 : Le joueur se trouve devant un puzzle géant représentant le corps humain, mais les pièces sont mélangées et il doit les remettre dans le bon ordre. Chaque pièce porte le nom anglais d'une partie du corps, et le joueur doit les assembler correctement pour reconstituer l'image complète. S'il parvient à reconstituer le puzzle, il débloque un passage secret qui lui permet de progresser. En revanche, s'il se trompe dans l'assemblage, le puzzle reste incomplet et il doit trouver la bonne combinaison pour avancer.

MC3 : Le joueur se retrouve face à un miroir magique qui lui montre des images floues de différentes parties du corps humain en anglais. Pour débloquer le pouvoir du miroir et obtenir des indices précieux, le joueur doit nommer correctement chaque partie du corps qu'il voit. S'il réussit, le miroir lui révèle des secrets cachés qui l'aideront dans sa quête. En cas d'erreur, le miroir se trouble et le joueur doit trouver la bonne réponse pour obtenir les informations nécessaires."
Le joueur doit se rappeler des tables d'addition (MD) et résoudre des énigmes mathématiques qui nécessitent d'additionner des nombres pour avancer dans le jeu (MS).,"MC1 : Le joueur se retrouve face à une série de portes verrouillées, chacune affichant un nombre différent. Pour ouvrir ces portes et progresser dans sa quête, le joueur doit résoudre des énigmes mathématiques basées sur des additions. Par exemple, il pourrait être confronté à la question ""5 + 3 = ?"". En trouvant la bonne réponse, il déverrouille la porte et peut continuer son chemin. En cas d'erreur, la porte reste fermée et le joueur doit trouver la solution pour avancer.

MC2 : Le joueur se trouve dans une salle remplie de coffres au trésor, mais chaque coffre est verrouillé par un code numérique. Pour débloquer ces trésors, le joueur doit résoudre des énigmes d'addition. Par exemple, il pourrait être confronté à la question ""12 + 8 = ?"". En trouvant la bonne réponse, le coffre s'ouvre et révèle des récompenses précieuses. En cas d'erreur, le coffre reste fermé et le joueur doit trouver la bonne réponse pour obtenir le trésor.

MC3 : Le joueur se retrouve face à un labyrinthe complexe, où chaque intersection affiche un nombre mystérieux. Pour trouver le bon chemin et sortir du labyrinthe, le joueur doit résoudre des énigmes d'addition. Par exemple, il pourrait être confronté à la question ""6 + 4 = ?"". En trouvant la bonne réponse, le joueur avance dans le labyrinthe et se rapproche de la sortie. En cas d'erreur, il risque de se perdre davantage et de devoir résoudre d'autres énigmes pour retrouver son chemin."
Le joueur doit mémoriser les tables de multiplication (MD) et résoudre des énigmes mathématiques basées sur les tables de multiplication pour progresser dans le jeu (MS).,"MC1 : Le joueur se retrouve face à une série de portes verrouillées, chacune affichant un calcul de multiplication différent basé sur les tables de multiplication. Pour avancer, le joueur doit résoudre correctement chaque énigme mathématique et trouver la clé qui ouvrira la porte suivante. Chaque porte franchie lui permettra de découvrir de nouveaux défis et de progresser dans sa quête.
MC2 : Le joueur se trouve dans un labyrinthe complexe où chaque intersection est marquée par un calcul de multiplication. En choisissant le bon chemin à chaque croisement, basé sur les réponses correctes aux énigmes mathématiques, le joueur pourra avancer vers la sortie du labyrinthe. Chaque erreur le ramènera à son point de départ, l'obligeant à reprendre sa réflexion et à utiliser ses connaissances des tables de multiplication pour trouver la bonne voie.
MC3 : Le joueur est confronté à un coffre-fort mystérieux qui ne s'ouvrira que si le bon code est entré. Ce code est basé sur une série de calculs de multiplication, et le joueur doit résoudre correctement chaque opération pour déverrouiller le coffre-fort et accéder à son contenu précieux. Chaque erreur rapproche le joueur de l'échec, le mettant au défi d'utiliser ses compétences mathématiques pour réussir à ouvrir le coffre-fort."
Le joueur doit associer chaque animal à son cri correspondant (MD) en complétant un puzzle où chaque pièce représente un animal et son cri (MS).,"MC1 : Le joueur se retrouve dans une forêt enchantée où les animaux parlent et demandent de l'aide. Chaque animal est représenté par une pièce de puzzle, et le joueur doit associer chaque animal à son cri correspondant pour reconstituer le puzzle. En réussissant cette tâche, les animaux remercient le joueur en lui offrant un indice précieux pour la suite de son aventure. En cas d'erreur, les animaux s'agitent et le joueur doit recommencer jusqu'à ce que le puzzle soit complet.

MC2 : Le joueur se trouve dans un zoo magique où les animaux ont perdu leur voix et ne peuvent plus communiquer. Pour les aider, le joueur doit reconstituer un puzzle géant où chaque pièce représente un animal et son cri. En associant correctement chaque animal à son cri, les animaux retrouvent leur voix et le joueur gagne leur confiance. En revanche, en cas d'erreur, les animaux restent muets et le joueur doit trouver la bonne association pour débloquer la situation.

MC3 : Le joueur est transporté dans un monde fantastique où les animaux sont les gardiens d'un trésor légendaire. Pour accéder au trésor, le joueur doit résoudre un puzzle magique où chaque pièce représente un animal et son cri. En associant correctement chaque animal à son cri, le joueur déverrouille le coffre du trésor et peut enfin mettre la main sur ses richesses. En cas d'erreur, le coffre reste fermé et le joueur doit trouver la bonne combinaison pour accéder au trésor tant convoité."
Le joueur doit écrire le nom des couleurs (MD) en résolvant des énigmes qui lui demandent d'identifier la couleur correspondante à un objet donné (MS).,"MC1 : Le joueur se retrouve dans une pièce sombre remplie d'objets colorés mais étrangement dépourvus de teinte. Pour avancer, il doit associer chaque objet à sa couleur en utilisant ses connaissances sur les noms des couleurs. Par exemple, s'il voit une pomme rouge, il devra écrire ""rouge"" pour pouvoir déverrouiller la porte et continuer son exploration.
MC2 : Le joueur se trouve face à un puzzle complexe composé de pièces de différentes couleurs. Chaque pièce est associée à un mot, mais une seule correspond à la couleur réelle de la pièce. Le joueur doit résoudre ce casse-tête en identifiant correctement la couleur de chaque pièce et en écrivant le nom correspondant. S'il parvient à reconstituer l'image correctement, il pourra accéder à la prochaine étape de son aventure.
MC3 : Le joueur est confronté à un tableau magique qui change de couleur à chaque fois qu'il est touché. Pour progresser, le joueur doit mémoriser l'ordre des couleurs affichées et les écrire dans le bon ordre. Chaque erreur le ramène au début du tableau, l'obligeant à recommencer jusqu'à ce qu'il parvienne à reproduire la séquence correcte. Une fois cette tâche accomplie, le tableau révèlera un passage secret permettant au joueur de poursuivre sa quête."
Le joueur doit associer le nom des animaux à leur image correspondante (MD) et résoudre des énigmes basées sur le nom des animaux pour avancer dans le jeu (MS).,"MC1 : Le joueur se retrouve dans une forêt enchantée où des animaux mystérieux se cachent derrière les arbres. Pour progresser, il doit associer le nom des animaux à leur image correspondante. Chaque bonne réponse le rapproche de la sortie de la forêt, tandis que chaque erreur le fait reculer, le laissant à la merci des dangers de la nature.
MC2 : Le joueur se trouve face à un puzzle complexe composé d'images d'animaux mélangées. Pour résoudre ce puzzle et avancer dans le jeu, il doit identifier correctement chaque animal et reconstituer l'image complète. Chaque pièce bien placée le rapproche de la résolution du puzzle, tandis que chaque erreur complique davantage la tâche.
MC3 : Le joueur est confronté à un gardien énigmatique qui lui pose des énigmes basées sur le nom des animaux. Pour obtenir la clé qui lui permettra d'ouvrir la porte vers la prochaine étape du jeu, le joueur doit résoudre ces énigmes en associant correctement chaque animal à sa caractéristique spécifique. Chaque énigme résolue le rapproche de son objectif, mais une réponse incorrecte le fait reculer, le maintenant prisonnier de l'énigme du gardien."
Le joueur doit conjuguer un verbe donné au présent (MD) en complétant des phrases avec le verbe conjugué correctement (MS).,"MC1 : Le joueur se retrouve dans une salle remplie de portes verrouillées, chacune affichant une phrase incomplète nécessitant la conjugaison d'un verbe au présent. Pour avancer, le joueur doit compléter correctement chaque phrase en conjuguant le verbe donné. Chaque porte ouverte mène à un nouveau défi, et chaque erreur le ramène au point de départ, l'obligeant à recommencer jusqu'à ce que toutes les phrases soient correctement complétées.
MC2 : Le joueur se trouve face à un énigme complexe, composée de phrases incomplètes nécessitant la conjugaison de verbes au présent. Pour résoudre l'énigme et progresser, le joueur doit conjuguer correctement chaque verbe dans les phrases données. Chaque bonne réponse le rapproche de la solution, tandis que chaque erreur le fait reculer. Seul en conjuguant correctement tous les verbes, le joueur pourra débloquer la prochaine étape de son aventure.
MC3 : Le joueur est confronté à un labyrinthe de mots incomplets, où chaque chemin est bloqué par une phrase nécessitant la conjugaison d'un verbe au présent. Pour trouver la sortie du labyrinthe, le joueur doit conjuguer correctement chaque verbe dans les phrases rencontrées. Chaque bonne conjugaison le rapproche de la sortie, tandis que chaque erreur le fait tourner en rond. Seul en conjuguant tous les verbes correctement, le joueur pourra enfin s'échapper du labyrinthe et poursuivre son chemin."
